Experiment	RNA editing site	Location	Gene	dFI	p-value	FDR
LX-2-mir150-5p-OE	chr16:30598573	ncRNA_intronic	RP11-146F11.5	0.399159664	0.000168943	0.022946272
LX-2-mir150-5p-OE	chr16:30598590	ncRNA_intronic	RP11-146F11.5	0.581196581	0.000111114	0.017709814
LX-2-mir150-5p-OE	chr16:30932699	ncRNA_exonic	FBXL19-AS1	-0.435	0.000489455	0.037860447
LX-2-mir150-5p-OE	chr16:50139744	ncRNA_intronic	RP11-429P3.5	0.386054422	6.88E-05	0.013840224
LX-2-mir150-5p-OE	chr16:57217320	intronic	FAM192A	0.333333333	0.000704382	0.044610194
LX-2-mir150-5p-OE	chr16:57814967	intronic	KIFC3	-0.337662338	0.000700952	0.044466753
LX-2-mir150-5p-OE	chr16:57815012	intronic	KIFC3	-0.409090909	0.000524027	0.039181267
LX-2-mir150-5p-OE	chr16:66589019	intronic	"CKLF,CKLF-CMTM1"	0.345238095	0.000851759	0.048717301
LX-2-mir150-5p-OE	chr16:66589020	intronic	"CKLF,CKLF-CMTM1"	0.416666667	0.000432033	0.035514641
LX-2-mir150-5p-OE	chr16:67112338	intronic	CBFB	0.416666667	7.24E-05	0.014033423
LX-2-mir150-5p-OE	chr16:74364004	ncRNA_intronic	AC009120.6	-0.478787879	2.11E-05	0.006672445
LX-2-mir150-5p-OE	chr16:74399053	ncRNA_intronic	RP11-252A24.2	-0.504761905	2.52E-05	0.007435004
LX-2-mir150-5p-OE	chr16:74399138	ncRNA_intronic	RP11-252A24.2	-0.341176471	0.000438413	0.035765391
LX-2-mir150-5p-OE	chr16:74400084	ncRNA_intronic	RP11-252A24.2	-0.313186813	0.000210293	0.025143343
LX-2-mir150-5p-OE	chr16:74698525	UTR5	RFWD3	0.147668998	0.000541247	0.039873417
LX-2-mir150-5p-OE	chr16:81063319	ncRNA_intronic	RP11-303E16.3	0.247368421	0.000446656	0.035979144
LX-2-mir150-5p-OE	chr16:81063345	ncRNA_intronic	RP11-303E16.3	0.299368542	0.00083844	0.048414269
LX-2-mir150-5p-OE	chr17:1053336	intronic	ABR	-0.30787037	0.000161539	0.02260895
LX-2-mir150-5p-OE	chr17:1263894	intronic	YWHAE	-0.509090909	0.000291901	0.030053728
LX-2-mir150-5p-OE	chr17:1431915	intronic	PITPNA	0.441176471	0.000488748	0.037860447
LX-2-mir150-5p-OE	chr17:1608128	intergenic	"PRPF8,TLCD2"	0.262626263	0.00064919	0.042942261
LX-2-mir150-5p-OE	chr17:1684306	UTR3	SMYD4	-0.34	0.000135138	0.020310179
LX-2-mir150-5p-OE	chr17:17092583	UTR3	MPRIP	0.117389277	0.000872938	0.048979566
LX-2-mir150-5p-OE	chr17:18175211	intergenic	"RP1-178F10.1,TOP3A"	0.243417367	7.91E-05	0.014884645
LX-2-mir150-5p-OE	chr17:25641723	ncRNA_exonic	RP11-173M1.8	0.409090909	0.000343363	0.032171935
LX-2-mir150-5p-OE	chr17:26934194	ncRNA_intronic	SPAG5-AS1	0.416666667	0.000423644	0.035277361
LX-2-mir150-5p-OE	chr17:28516162	intergenic	"NSRP1,SLC6A4"	0.454545455	0.000315739	0.03084905
LX-2-mir150-5p-OE	chr17:30325015	intronic	SUZ12	0.44047619	7.11E-05	0.013840224
LX-2-mir150-5p-OE	chr17:30364274	intronic	LRRC37B	0.39010989	0.000275797	0.029072648
LX-2-mir150-5p-OE	chr17:34853567	exonic	ZNHIT3	0.361984626	0.000102574	0.017078009
LX-2-mir150-5p-OE	chr17:3630132	intronic	ITGAE	0.268115942	0.000288175	0.029891193
LX-2-mir150-5p-OE	chr17:36932822	intronic	PIP4K2B	0.576190476	7.16E-06	0.00327336
LX-2-mir150-5p-OE	chr17:41294069	ncRNA_intronic	NBR2	0.201587302	0.000888489	0.049555094
LX-2-mir150-5p-OE	chr17:41321292	ncRNA_intronic	RP11-242D8.1	-0.381486676	0.000350487	0.032432373
LX-2-mir150-5p-OE	chr17:41373874	ncRNA_intronic	LINC00854	-0.244117647	0.000290761	0.030005323
LX-2-mir150-5p-OE	chr17:41379618	ncRNA_intronic	LINC00854	0.333333333	0.000278997	0.029332036
LX-2-mir150-5p-OE	chr17:41884622	intronic	MPP3	-0.618181818	7.90E-05	0.014884645
LX-2-mir150-5p-OE	chr17:420857	exonic	VPS53	-0.21540832	0.000768167	0.046304045
LX-2-mir150-5p-OE	chr17:42256761	ncRNA_intronic	ASB16-AS1	0.209302326	5.22E-05	0.011737754
LX-2-mir150-5p-OE	chr17:42257016	ncRNA_intronic	ASB16-AS1	-0.317460317	0.000608446	0.041859401
LX-2-mir150-5p-OE	chr17:43524380	intronic	PLEKHM1	0.471794872	0.000106435	0.017397524
LX-2-mir150-5p-OE	chr17:4928976	UTR3	KIF1C	0.309597523	0.00052513	0.039198316
LX-2-mir150-5p-OE	chr17:5326589	intronic	RPAIN	0.316666667	0.000727656	0.045137845
LX-2-mir150-5p-OE	chr17:57279170	UTR3	PRR11	0.081766958	6.42E-05	0.013304035
LX-2-mir150-5p-OE	chr17:57279284	UTR3	PRR11	0.181179625	0.000340104	0.031967318
LX-2-mir150-5p-OE	chr17:57281072	ncRNA_intronic	CTD-2510F5.4	0.195959596	0.000175794	0.023088862
LX-2-mir150-5p-OE	chr17:57281125	ncRNA_exonic	CTD-2510F5.4	0.272972237	1.19E-06	0.000944853
LX-2-mir150-5p-OE	chr17:59868750	intronic	BRIP1	0.255913978	0.00042597	0.035300195
LX-2-mir150-5p-OE	chr17:60078261	intronic	MED13	0.445454545	0.000252476	0.027989245
LX-2-mir150-5p-OE	chr17:62564311	intronic	SMURF2	0.416475973	0.000230731	0.026496804
LX-2-mir150-5p-OE	chr17:71201195	intronic	COG1	-0.63	2.18E-06	0.001501968
LX-2-mir150-5p-OE	chr17:73940077	ncRNA_intronic	RP11-552F3.13	0.475268817	0.000667309	0.0433424
LX-2-mir150-5p-OE	chr17:76178416	intronic	TK1	-0.558333333	1.29E-05	0.005054634
LX-2-mir150-5p-OE	chr17:78389774	intronic	ENDOV	0.328571429	0.000495077	0.03796748
LX-2-mir150-5p-OE	chr17:79527621	intronic	NPLOC4	0.216757741	0.000454459	0.036277606
LX-2-mir150-5p-OE	chr18:12973399	intronic	SEH1L	0.592307692	1.83E-05	0.006061589
LX-2-mir150-5p-OE	chr18:32839224	intronic	ZSCAN30	-0.449019608	0.000314835	0.03084905
LX-2-mir150-5p-OE	chr18:56206006	intronic	ALPK2	-0.348164627	0.00050583	0.038394409
LX-2-mir150-5p-OE	chr18:56811184	intronic	SEC11C	0.445454545	0.00021177	0.025143343
LX-2-mir150-5p-OE	chr18:739487	ncRNA_exonic	RP11-769O8.3	-0.470588235	3.55E-06	0.002091489
LX-2-mir150-5p-OE	chr18:8756014	intronic	SOGA2	-0.416666667	0.000466576	0.036783663
LX-2-mir150-5p-OE	chr18:8822313	intronic	SOGA2	-0.4375	0.000380362	0.033264496
LX-2-mir150-5p-OE	chr18:9369323	intronic	TWSG1	-0.471590909	5.70E-05	0.012276165
LX-2-mir150-5p-OE	chr19:10480525	intronic	TYK2	0.297979798	0.000873697	0.048979566
LX-2-mir150-5p-OE	chr19:10480538	intronic	TYK2	0.429411765	0.000599126	0.041523547
LX-2-mir150-5p-OE	chr19:10819511	intronic	QTRT1	0.283333333	0.000261713	0.028312453
LX-2-mir150-5p-OE	chr19:11256725	UTR3	SPC24	0.22915906	0.000334201	0.031596896
LX-2-mir150-5p-OE	chr19:11560427	intronic	PRKCSH	0.150570048	8.27E-05	0.015091661
LX-2-mir150-5p-OE	chr19:11560716	intronic	PRKCSH	0.243744956	3.11E-12	6.96E-08
LX-2-mir150-5p-OE	chr19:11560746	intronic	PRKCSH	0.064526643	0.000111104	0.017709814
LX-2-mir150-5p-OE	chr19:11560760	intronic	PRKCSH	0.085353356	0.000229838	0.026462136
LX-2-mir150-5p-OE	chr19:11560763	intronic	PRKCSH	0.247748235	6.56E-12	9.79E-08
LX-2-mir150-5p-OE	chr19:11560764	intronic	PRKCSH	0.196910595	3.66E-11	4.10E-07
LX-2-mir150-5p-OE	chr19:11560799	intronic	PRKCSH	0.075093478	0.000242434	0.027488384
LX-2-mir150-5p-OE	chr19:11560835	intronic	PRKCSH	0.079469418	0.000326562	0.031385733
LX-2-mir150-5p-OE	chr19:11561032	intronic	PRKCSH	0.414273995	2.66E-05	0.007649623
LX-2-mir150-5p-OE	chr19:11561033	intronic	PRKCSH	0.301493711	0.000132102	0.02012397
LX-2-mir150-5p-OE	chr19:11561201	intronic	PRKCSH	0.17264645	0.000452087	0.036221118
LX-2-mir150-5p-OE	chr19:11561241	intronic	PRKCSH	0.141175391	0.000772026	0.046335241
LX-2-mir150-5p-OE	chr19:12040004	intronic	"ZNF700,ZNF763"	-0.333333333	0.000181791	0.02329772
LX-2-mir150-5p-OE	chr19:12190545	UTR3	ZNF844	0.349264706	0.000304504	0.030646834
LX-2-mir150-5p-OE	chr19:12190550	UTR3	ZNF844	0.430555556	0.000589429	0.041119587
LX-2-mir150-5p-OE	chr19:12756915	intronic	CTD-2192J16.22	0.642857143	2.14E-07	0.000259608
LX-2-mir150-5p-OE	chr19:12785806	intronic	WDR83	0.577777778	0.000345773	0.032238429
LX-2-mir150-5p-OE	chr19:13871687	intronic	CCDC130	0.347368421	0.00027305	0.028978921
LX-2-mir150-5p-OE	chr19:16191563	intronic	TPM4	0.374545455	0.000359775	0.032674353
LX-2-mir150-5p-OE	chr19:16661298	UTR3	SLC35E1	0.242366151	0.00037125	0.032925134
LX-2-mir150-5p-OE	chr19:16661411	UTR3	SLC35E1	0.193225733	0.000899703	0.049870068
LX-2-mir150-5p-OE	chr19:16673617	intronic	"CTD-3222D19.2,SLC35E1"	0.285714286	0.000346232	0.032238429
LX-2-mir150-5p-OE	chr19:16674505	intronic	"CTD-3222D19.2,SLC35E1"	0.416666667	0.000851865	0.048717301
LX-2-mir150-5p-OE	chr19:18477337	UTR3	PGPEP1	0.426298701	1.37E-06	0.001061001
LX-2-mir150-5p-OE	chr19:19900597	ncRNA_exonic	CTC-559E9.6	0.330143541	0.000895435	0.049818463
LX-2-mir150-5p-OE	chr19:21368333	UTR3	ZNF431	0.286713287	0.000775039	0.046335241
LX-2-mir150-5p-OE	chr19:21368341	UTR3	ZNF431	0.475362319	0.000373129	0.032961241
LX-2-mir150-5p-OE	chr19:28298907	ncRNA_intronic	LLNLF-65H9.1	0.293333333	0.000488769	0.037860447
LX-2-mir150-5p-OE	chr19:2856377	ncRNA_intronic	AC006130.3	0.407017544	9.90E-05	0.016618831
LX-2-mir150-5p-OE	chr19:33106406	intronic	ANKRD27	-0.409090909	0.000851825	0.048717301
LX-2-mir150-5p-OE	chr19:3541936	intronic	"C19orf71,MFSD12"	0.328118393	0.000498388	0.038146629
LX-2-mir150-5p-OE	chr19:37736516	intergenic	"ZNF383,AC012309.5"	-0.566666667	2.59E-05	0.007570943
LX-2-mir150-5p-OE	chr19:38223749	intergenic	"CTD-2528L19.6,ZNF573"	0.362229102	0.000220908	0.025900005
LX-2-mir150-5p-OE	chr19:38225164	intergenic	"CTD-2528L19.6,ZNF573"	-0.574660633	8.44E-05	0.015120714
LX-2-mir150-5p-OE	chr19:38627922	intronic	SIPA1L3	-0.6125	0.000354382	0.032520784
LX-2-mir150-5p-OE	chr19:39121191	intronic	EIF3K	-0.33974359	0.000873779	0.048979566
LX-2-mir150-5p-OE	chr19:39983466	intergenic	"TIMM50,DLL3"	-0.485893417	0.000154516	0.022126743
LX-2-mir150-5p-OE	chr19:41333571	intronic	CTC-490E21.12	0.416666667	0.000261117	0.028312453
LX-2-mir150-5p-OE	chr19:42375602	UTR3	RPS19	0.389509471	2.78E-08	6.56E-05
LX-2-mir150-5p-OE	chr19:42376711	UTR3	RPS19	0.26184379	1.17E-05	0.004780144
LX-2-mir150-5p-OE	chr19:44344918	UTR3	ZNF283	-0.444444444	0.000104273	0.017271841
LX-2-mir150-5p-OE	chr19:44577790	intronic	"ZNF223,ZNF284"	-0.518181818	0.000833956	0.048256339
LX-2-mir150-5p-OE	chr19:45894063	intronic	PPP1R13L	0.292270531	0.000272082	0.028944755
LX-2-mir150-5p-OE	chr19:4654380	UTR3	TNFAIP8L1	0.336276083	0.000146782	0.021624811
LX-2-mir150-5p-OE	chr19:4654601	UTR3	TNFAIP8L1	0.120951751	0.000226951	0.026264719
LX-2-mir150-5p-OE	chr19:47914019	intronic	MEIS3	-0.366666667	0.000171635	0.022946272
LX-2-mir150-5p-OE	chr19:47915239	intronic	MEIS3	-0.277777778	0.000362191	0.032704552
LX-2-mir150-5p-OE	chr19:48230097	ncRNA_intronic	CTD-2571L23.8	-0.276666667	0.000649285	0.042942261
LX-2-mir150-5p-OE	chr19:48686997	intronic	"C19orf68,ZNF114"	-0.409090909	0.00076452	0.046304045
LX-2-mir150-5p-OE	chr19:48691142	intronic	"C19orf68,ZNF114"	0.33974359	0.000288669	0.029891193
LX-2-mir150-5p-OE	chr19:49418128	ncRNA_intronic	NUCB1-AS1	0.3375	0.000371142	0.032925134
LX-2-mir150-5p-OE	chr19:49426961	downstream	NUCB1	-0.330065359	0.000297739	0.030284359
LX-2-mir150-5p-OE	chr19:50273226	intronic	AP2A1	-0.309090909	0.00051555	0.038806231
LX-2-mir150-5p-OE	chr19:53063528	intergenic	"ZNF808,ZNF701"	0.461538462	0.000217556	0.025575666
LX-2-mir150-5p-OE	chr19:53064940	intergenic	"ZNF808,ZNF701"	-0.583333333	3.65E-06	0.002105688
LX-2-mir150-5p-OE	chr19:53071548	intergenic	"ZNF808,ZNF701"	0.330143541	0.000471717	0.036806267
LX-2-mir150-5p-OE	chr19:53146871	intronic	ZNF83	0.321052632	0.000310982	0.03084905
LX-2-mir150-5p-OE	chr19:55561585	ncRNA_intronic	CTC-550B14.6	0.262605042	0.000390238	0.033672834
LX-2-mir150-5p-OE	chr19:55562978	ncRNA_intronic	CTC-550B14.6	-0.309090909	0.000397475	0.033965881
LX-2-mir150-5p-OE	chr19:56120601	intronic	ZNF865	0.631372549	5.67E-06	0.002796628
LX-2-mir150-5p-OE	chr19:57727573	intergenic	"ZNF264,AURKC"	0.188109162	0.000841539	0.048500067
LX-2-mir150-5p-OE	chr19:57732246	intergenic	"ZNF264,AURKC"	0.328571429	0.000366363	0.032816601
LX-2-mir150-5p-OE	chr19:57842799	downstream	ZNF543	-0.255060729	0.000623233	0.042181321
LX-2-mir150-5p-OE	chr19:58375252	UTR3	ZNF587	0.151553423	0.000623758	0.042181321
LX-2-mir150-5p-OE	chr19:58414161	intronic	CTD-2583A14.9	0.4375	1.80E-05	0.00606059
LX-2-mir150-5p-OE	chr19:58449960	intergenic	"ZNF418,ZNF256"	-0.416666667	0.000331616	0.031497892
LX-2-mir150-5p-OE	chr19:6377291	UTR5	PSPN	0.509090909	0.000463526	0.036743293
LX-2-mir150-5p-OE	chr2:100027698	intronic	REV1	0.524725275	0.000115185	0.018228977
LX-2-mir150-5p-OE	chr2:109359264	intronic	RANBP2	0.366666667	0.000468966	0.036783663
LX-2-mir150-5p-OE	chr2:109434639	intronic	CCDC138	0.629186603	5.49E-08	0.000102417
LX-2-mir150-5p-OE	chr2:114466121	intergenic	"AC017074.2,SLC35F5"	0.213963964	0.000578555	0.04080592
LX-2-mir150-5p-OE	chr2:128049055	intronic	ERCC3	0.451724138	9.32E-05	0.01618021
LX-2-mir150-5p-OE	chr2:128602366	ncRNA_exonic	RP5-935K16.1	0.367867868	0.000168233	0.022946272
LX-2-mir150-5p-OE	chr2:128951806	UTR3	UGGT1	0.177314815	4.70E-05	0.01085902
LX-2-mir150-5p-OE	chr2:128952041	UTR3	UGGT1	0.102124452	0.000178114	0.02312225
LX-2-mir150-5p-OE	chr2:170563216	intronic	KLHL23	0.627272727	6.32E-06	0.003011333
LX-2-mir150-5p-OE	chr2:197011194	intronic	STK17B	0.337662338	0.000612307	0.04206044
LX-2-mir150-5p-OE	chr2:198360438	intronic	HSPD1	0.318181818	2.52E-05	0.007435004
LX-2-mir150-5p-OE	chr2:202030094	UTR3	CFLAR	0.446551724	0.000155204	0.022126743
LX-2-mir150-5p-OE	chr2:202082668	UTR3	CASP10	-0.532051282	5.20E-05	0.011737754
LX-2-mir150-5p-OE	chr2:203742348	UTR3	WDR12	0.277777778	0.000461118	0.036617194
LX-2-mir150-5p-OE	chr2:20466995	intronic	PUM2	0.521428571	6.83E-06	0.003222238
LX-2-mir150-5p-OE	chr2:206986926	ncRNA_exonic	AC007383.4	0.317944601	0.000552742	0.039873417
LX-2-mir150-5p-OE	chr2:211015406	intronic	KANSL1L	0.486563751	8.13E-08	0.000138936
LX-2-mir150-5p-OE	chr2:219099947	intronic	ARPC2	0.303203159	0.000163276	0.022780769
LX-2-mir150-5p-OE	chr2:219446095	intronic	RQCD1	0.4375	0.000637272	0.042346451
LX-2-mir150-5p-OE	chr2:220234151	intergenic	"RESP18,DNPEP"	0.364035088	0.000683907	0.043945654
LX-2-mir150-5p-OE	chr2:224619461	intronic	AP1S3	0.41503268	5.39E-05	0.012018126
LX-2-mir150-5p-OE	chr2:231387719	ncRNA_intronic	AC010149.4	0.405982906	1.56E-05	0.005577168
LX-2-mir150-5p-OE	chr2:24225329	UTR3	UBXN2A	0.307692308	2.22E-05	0.006898488
LX-2-mir150-5p-OE	chr2:24225542	UTR3	UBXN2A	0.267816092	3.32E-05	0.008702299
LX-2-mir150-5p-OE	chr2:24225548	UTR3	UBXN2A	0.318431568	2.94E-05	0.008170227
LX-2-mir150-5p-OE	chr2:25047691	intronic	ADCY3	-0.305945946	0.000348532	0.032318251
LX-2-mir150-5p-OE	chr2:27255495	upstream	TMEM214	0.583333333	1.96E-06	0.001393507
LX-2-mir150-5p-OE	chr2:27567730	intronic	GTF3C2	0.307142857	0.000790631	0.046838608
LX-2-mir150-5p-OE	chr2:27576758	intronic	GTF3C2	0.292207792	0.00039967	0.033965881
LX-2-mir150-5p-OE	chr2:32532725	UTR3	YIPF4	0.24807396	0.000467824	0.036783663
LX-2-mir150-5p-OE	chr2:32533259	UTR3	YIPF4	0.370833333	0.000200013	0.024615434
LX-2-mir150-5p-OE	chr2:32533618	UTR3	YIPF4	-0.366666667	0.000158323	0.022439219
LX-2-mir150-5p-OE	chr2:37327662	UTR3	EIF2AK2	0.239219577	2.87E-06	0.001919553
LX-2-mir150-5p-OE	chr2:37327666	UTR3	EIF2AK2	0.145114943	1.02E-05	0.004345752
LX-2-mir150-5p-OE	chr2:37328013	UTR3	EIF2AK2	0.157687	5.28E-07	0.00052504
LX-2-mir150-5p-OE	chr2:37328034	UTR3	EIF2AK2	0.17454222	0.000377018	0.033044045
LX-2-mir150-5p-OE	chr2:37331038	UTR3	EIF2AK2	0.120701193	3.68E-07	0.000398436
LX-2-mir150-5p-OE	chr2:37331750	UTR3	EIF2AK2	0.145243945	0.000172327	0.022970201
LX-2-mir150-5p-OE	chr2:54097602	intronic	PSME4	0.38974359	0.000381019	0.033264496
LX-2-mir150-5p-OE	chr2:58394199	intronic	FANCL	0.274509804	0.000720262	0.045053567
LX-2-mir150-5p-OE	chr2:61278018	UTR3	PEX13	0.134294069	0.000450259	0.036139357
LX-2-mir150-5p-OE	chr2:62064782	intronic	FAM161A	0.454272864	0.000726169	0.045125309
LX-2-mir150-5p-OE	chr2:68360809	intronic	"RP11-474G23.1,WDR92"	-0.345238095	0.000667744	0.0433424
LX-2-mir150-5p-OE	chr2:69731783	intronic	AAK1	-0.427609428	0.000109032	0.017604964
LX-2-mir150-5p-OE	chr2:70447488	intronic	TIA1	0.308080808	0.000224654	0.026133959
LX-2-mir150-5p-OE	chr2:70448410	intronic	TIA1	0.3	6.99E-05	0.013840224
LX-2-mir150-5p-OE	chr2:75895182	intronic	"GCFC2,MRPL19"	-0.398684211	0.000200058	0.024615434
LX-2-mir150-5p-OE	chr2:85773618	UTR3	GGCX	0.156737589	0.000732165	0.04535475
LX-2-mir150-5p-OE	chr2:85874151	intronic	USP39	0.369747899	0.000275881	0.029072648
LX-2-mir150-5p-OE	chr2:86250967	UTR3	POLR1A	0.560606061	0.000358848	0.032674353
LX-2-mir150-5p-OE	chr2:91841976	ncRNA_intronic	AC027612.6	0.507352941	0.000367689	0.03286964
LX-2-mir150-5p-OE	chr2:96502495	intergenic	"LINC00342,ANKRD36C"	0.298901099	0.000363464	0.032753412
LX-2-mir150-5p-OE	chr2:96911029	intergenic	"AC012307.3,TMEM127"	0.322222222	0.000426693	0.035300195
LX-2-mir150-5p-OE	chr2:97024413	intronic	NCAPH	0.659090909	1.75E-05	0.005995039
LX-2-mir150-5p-OE	chr2:97290437	intronic	KANSL3	0.381944444	0.000119607	0.018795926
LX-2-mir150-5p-OE	chr2:98389225	intronic	TMEM131	0.4	0.000776669	0.046335241
LX-2-mir150-5p-OE	chr2:99819226	intergenic	"MRPL30,LYG2"	0.65034965	4.47E-06	0.002412363
LX-2-mir150-5p-OE	chr2:99928903	intergenic	"LYG1,TXNDC9"	0.416666667	0.000130238	0.019907768
LX-2-mir150-5p-OE	chr2:99933394	intergenic	"LYG1,TXNDC9"	0.30787037	0.000664144	0.043296999
LX-2-mir150-5p-OE	chr20:17967663	intronic	MGME1	0.259358289	0.000801509	0.047086049
LX-2-mir150-5p-OE	chr20:18453011	intronic	POLR3F	-0.337719298	0.000507502	0.038394409
LX-2-mir150-5p-OE	chr20:30143971	intronic	HM13	0.52020202	2.13E-05	0.006672445
LX-2-mir150-5p-OE	chr20:31964249	intronic	CDK5RAP1	-0.328571429	0.000466041	0.036783663
LX-2-mir150-5p-OE	chr20:32292991	intergenic	"E2F1,PXMP4"	0.207539354	0.000779142	0.046335241
LX-2-mir150-5p-OE	chr20:32293243	intergenic	"E2F1,PXMP4"	0.461111111	2.12E-05	0.006672445
LX-2-mir150-5p-OE	chr20:32293285	intergenic	"E2F1,PXMP4"	0.307775087	0.000204023	0.024902947
LX-2-mir150-5p-OE	chr20:32293792	downstream	PXMP4	0.307560558	2.24E-05	0.006927885
LX-2-mir150-5p-OE	chr20:32293928	downstream	PXMP4	0.189882698	0.000886028	0.049479474
LX-2-mir150-5p-OE	chr20:32862535	ncRNA_intronic	RP4-785G19.5	0.560606061	0.000806631	0.047260578
LX-2-mir150-5p-OE	chr20:32863211	ncRNA_intronic	RP4-785G19.5	-0.483333333	0.000449229	0.036121411
LX-2-mir150-5p-OE	chr20:34132834	intronic	ERGIC3	-0.242822967	0.000287997	0.029891193
LX-2-mir150-5p-OE	chr20:34196752	intergenic	"FER1L4,SPAG4"	-0.392045455	0.000360398	0.032674353
LX-2-mir150-5p-OE	chr20:34196862	intergenic	"FER1L4,SPAG4"	-0.384615385	0.00010451	0.017271841
LX-2-mir150-5p-OE	chr20:34325031	intronic	RBM39	0.375757576	0.000275491	0.029072648
LX-2-mir150-5p-OE	chr20:35410373	UTR3	SOGA1	0.145269219	0.00067821	0.043767974
LX-2-mir150-5p-OE	chr20:35520977	UTR3	SAMHD1	0.150560646	2.25E-09	1.01E-05
LX-2-mir150-5p-OE	chr20:36018901	intronic	SRC	0.38277512	0.00051052	0.038557623
LX-2-mir150-5p-OE	chr20:3850002	downstream	MAVS	0.141876823	0.000855601	0.048717301
LX-2-mir150-5p-OE	chr20:3850094	downstream	MAVS	0.221124634	0.000134673	0.020310179
LX-2-mir150-5p-OE	chr20:3850201	downstream	MAVS	0.07934554	0.000802167	0.047086049
LX-2-mir150-5p-OE	chr20:3851191	intergenic	"MAVS,RP11-119B16.2"	0.25025641	3.45E-05	0.008802776
LX-2-mir150-5p-OE	chr20:3851551	intergenic	"MAVS,RP11-119B16.2"	0.098395722	0.000680994	0.043884418
LX-2-mir150-5p-OE	chr20:3851608	intergenic	"MAVS,RP11-119B16.2"	0.088172693	0.000807251	0.047260578
LX-2-mir150-5p-OE	chr20:3851645	intergenic	"MAVS,RP11-119B16.2"	0.118564405	0.000658626	0.043252037
LX-2-mir150-5p-OE	chr20:42934803	UTR3	FITM2	0.310606061	0.000776611	0.046335241
LX-2-mir150-5p-OE	chr20:43139369	intronic	SERINC3	-0.472027972	0.00073918	0.045458219
LX-2-mir150-5p-OE	chr20:4848182	intronic	SLC23A2	-0.388888889	0.000467331	0.036783663
LX-2-mir150-5p-OE	chr20:48561189	intronic	RNF114	0.338247338	0.000674642	0.043663574
LX-2-mir150-5p-OE	chr20:49498418	intergenic	"BCAS4,ADNP"	0.493461203	0.000445218	0.035979144
LX-2-mir150-5p-OE	chr20:49498664	intergenic	"BCAS4,ADNP"	0.411184211	6.93E-05	0.013840224
LX-2-mir150-5p-OE	chr20:49535956	intronic	ADNP	0.447552448	0.000549755	0.039873417
LX-2-mir150-5p-OE	chr20:49623799	ncRNA_intronic	RP5-955M13.4	0.277777778	0.000297358	0.030284359
LX-2-mir150-5p-OE	chr20:50685770	intronic	ZFP64	0.4	0.000773556	0.046335241
LX-2-mir150-5p-OE	chr20:5175539	UTR3	CDS2	0.173809524	0.000823679	0.047909217
LX-2-mir150-5p-OE	chr20:5977094	intergenic	"MCM8,RN7SL498P"	0.251068376	0.000318619	0.0310217
LX-2-mir150-5p-OE	chr20:5978428	intergenic	"MCM8,RN7SL498P"	0.163111888	0.000707197	0.044610194
LX-2-mir150-5p-OE	chr20:60774440	intronic	MTG2	0.466666667	0.000192367	0.024065765
LX-2-mir150-5p-OE	chr20:62359595	intronic	"RP4-583P15.15,ZGPAT"	0.401913876	0.000376258	0.03304213
LX-2-mir150-5p-OE	chr21:15472479	ncRNA_intronic	AP001347.6	-0.270833333	0.000662631	0.043261299
LX-2-mir150-5p-OE	chr21:34636347	ncRNA_exonic	IL10RB-AS1	0.205833134	5.56E-05	0.012192401
LX-2-mir150-5p-OE	chr21:34637159	ncRNA_exonic	IL10RB-AS1	0.41503268	1.50E-05	0.00547273
LX-2-mir150-5p-OE	chr21:34729931	UTR3	IFNAR1	0.227475915	1.82E-05	0.006061589
LX-2-mir150-5p-OE	chr21:34730033	UTR3	IFNAR1	0.193275278	6.46E-05	0.013330489
LX-2-mir150-5p-OE	chr21:34730095	UTR3	IFNAR1	0.185853614	1.48E-05	0.005440852
LX-2-mir150-5p-OE	chr21:34730096	UTR3	IFNAR1	0.20898623	1.21E-05	0.004834466
LX-2-mir150-5p-OE	chr21:34730108	UTR3	IFNAR1	0.179391682	5.53E-05	0.012192401
LX-2-mir150-5p-OE	chr21:34966191	intronic	"AP000304.12,CRYZL1"	-0.328571429	0.000444824	0.035979144
LX-2-mir150-5p-OE	chr21:37790891	UTR3	CHAF1B	0.330065359	0.000543219	0.039873417
LX-2-mir150-5p-OE	chr21:37790985	UTR3	CHAF1B	0.558441558	0.000300573	0.030321037
LX-2-mir150-5p-OE	chr21:37861297	ncRNA_intronic	AP000695.4	0.447552448	0.0001413	0.021024523
LX-2-mir150-5p-OE	chr21:44318505	intronic	NDUFV3	-0.25483871	0.00088069	0.049242751
LX-2-mir150-5p-OE	chr21:44331176	UTR3	NDUFV3	-0.345098039	0.000313425	0.03084905
LX-2-mir150-5p-OE	chr21:45143092	intronic	PDXK	0.337662338	0.000691951	0.044208165
LX-2-mir150-5p-OE	chr21:47691734	intronic	MCM3AP	0.341614907	0.000297565	0.030284359
LX-2-mir150-5p-OE	chr22:19934556	intronic	COMT	-0.428571429	6.92E-05	0.013840224
LX-2-mir150-5p-OE	chr22:23988208	ncRNA_intronic	GUSBP11	0.742424242	4.13E-07	0.000430564
LX-2-mir150-5p-OE	chr22:24505413	intronic	CABIN1	-0.235714286	0.000602276	0.041562591
LX-2-mir150-5p-OE	chr22:24505414	intronic	CABIN1	-0.484702093	4.74E-07	0.000482123
LX-2-mir150-5p-OE	chr22:25868828	intergenic	"CRYBB2P1,CTA-390C10.10"	-0.4	0.000506859	0.038394409
